imdb_id,star,genre,runtime,user,critc,dir_popu,ac1_popu,ac2_popu,ac3_popu,total_box_office,n_of_posters,opening_box_office,year,budget_mixed
tt0118523,4.8,Romance,113,39,22,1.000002,3.257304,1.624687,1.000292,3525125,7,1315445,1997,1000000
tt0119324,6.7,Comedy,85,89,41,1.624565,5.254345,1.832228,1.979961,617403,3,63266,1997,1500000
tt0119746,6,Comedy,93,36,34,1.000633,6.696419,3.785551,2.432161,505828,3,30533,1997,2000000
tt0119578,6.8,Comedy,108,51,13,1.000408,1.650657,2.244239,1.0108,2936611,3,167345,1997,2000000
tt0119256,7.3,Crime,96,149,65,2.492261,4.570843,5.039156,3.739935,142356,14,69486,1997,3000000
tt0119062,5.6,Drama,122,69,48,1.781427,1.314403,1.899701,11.93627,386673,10,64154,1997,5000000
tt0093744,5.9,Family,100,37,9,2.036516,1.168,1.0468,1.0008,779200,5,62196,1997,5000000
tt0120389,3.5,Action,99,56,30,1.075278,1.00048,1,1.002705,8363899,6,3301135,1997,10000000
tt0119906,5.6,Crime,94,50,36,1.000341,2.224303,1.526275,9.968347,4428527,12,1937374,1997,12000000
tt0119535,6.4,Comedy,103,176,67,1.571111,6.941386,9.1312,3.05788,14633270,15,2007279,1997,12000000
tt0091149,7.2,Animation,74,99,58,1.35379,2.532822,1.32928,1.000118,6707,40,6707,1997,14000000
tt0116922,7.6,Mystery,134,465,140,3.757597,11.93627,3.670424,1.000148,3816306,32,212710,1997,15000000
tt0119859,6.8,Drama,122,52,31,2.091148,3.635871,4.658718,1.358093,1990257,5,62518,1997,16000000
tt0118691,5.3,Comedy,105,43,23,1.076319,1.911825,5.413238,2.457099,11486880,10,4080222,1997,16000000
tt0120029,5.9,Comedy,95,76,26,2.649119,1.316149,1.456924,2.751189,15448043,13,4472937,1997,16000000
tt0119887,5,Comedy,82,134,16,1.17328,5.637282,2.625677,2.633347,3533790,6,1817278,1997,17000000
tt0120112,5.9,Drama,100,75,55,2.264101,5.109926,7.315426,7.24091,7281450,6,3020015,1997,18000000
tt0120399,6.8,Crime,125,213,113,2.290933,5.109926,5.18885,2.091106,6690074,35,2730440,1997,19000000
tt0119896,5.5,Comedy,105,73,56,1.457699,6.636919,1.727059,12.198778,31301775,16,7809026,1997,19000000
tt0118531,6.7,Drama,119,95,29,2.217428,21.798855,2.2934,2.315569,5747802,17,2222984,1997,20000000
tt0118604,5.1,Comedy,105,161,77,1.011202,2.158126,3.936174,1.000325,26570463,12,7600878,1997,22000000
tt0119832,5.8,Drama,102,40,39,1.343532,4.548112,7.653999,4.227094,2642718,7,978819,1997,24000000
tt0120434,5.9,Comedy,93,95,35,1.000012,3.022647,4.328744,2.34537,36470465,17,12837927,1997,25000000
tt0119951,6.8,Biography,109,104,32,2.070356,1.052557,2.556954,1.00024,41198146,6,14616333,1997,28000000
